Means and standard deviations per r and language per language set over all runs

LITERAL GLOBAL ALPHABET
sw,   0.74(0.01),  0.74(0.01),  0.74(0.02)
zh,   0.72(0.01),  0.72(0.01),  0.72(0.01)

PHONETIC SPECIFIC ALPHABET
lan,   r3,          r4,          r5
ar,   1.00(0.00),  1.00(0.00),  1.00(0.00)
de,   1.00(0.00),  1.00(0.00),  1.00(0.00)
el,   0.99(0.00),  1.00(0.00),  1.00(0.00)
en,   0.98(0.00),  0.98(0.01),  1.00(0.01)
eo,   0.50(0.00),  0.50(0.00),  0.50(0.00)
fr,   0.95(0.01),  0.97(0.00),  0.99(0.00)
hi,   1.00(0.00),  1.00(0.00),  1.00(0.00)
la,   0.94(0.02),  0.81(0.02),  0.60(0.05)
pl,   0.98(0.01),  1.00(0.00),  1.00(0.00)
ru,   0.99(0.01),  1.00(0.00),  1.00(0.01)
sw,   0.96(0.01),  0.98(0.01),  0.99(0.01)
zh,   1.00(0.00),  1.00(0.00),  1.00(0.00)


LITERAL TEST ALPHABET
lan,   r3,          r4,          r5
ar,   0.20(0.07),  0.09(0.06),  0.07(0.05)
de,   0.77(0.05),  0.76(0.06),  0.73(0.06)
el,   0.13(0.05),  0.07(0.04),  0.06(0.04)
en,   0.75(0.04),  0.79(0.03),  0.77(0.03)
eo,   0.50(0.00),  0.50(0.00),  0.50(0.00)
fr,   0.73(0.05),  0.70(0.06),  0.66(0.07)
hi,   0.14(0.06),  0.06(0.04),  0.05(0.04)
la,   0.76(0.05),  0.77(0.05),  0.75(0.05)
pl,   0.76(0.05),  0.64(0.06),  0.57(0.06)
ru,   0.12(0.03),  0.04(0.02),  0.03(0.01)
sw,   0.84(0.04),  0.84(0.04),  0.80(0.04)

TRANSLITERAL TEST ALPHABET
lan,   r3,          r4,          r5
ar,   0.38(0.04),  0.18(0.04),  0.12(0.04)
el,   0.64(0.06),  0.50(0.03),  0.42(0.04)
hi,   0.77(0.06),  0.74(0.04),  0.69(0.04)
ru,   0.75(0.02),  0.69(0.03),  0.62(0.04)

PHONETIC TEST ALPHABET
lan,   r3,          r4,          r5
ar,   0.64(0.05),  0.45(0.03),  0.34(0.02)
de,   0.37(0.06),  0.16(0.02),  0.10(0.04)
el,   NA(0.05),  NA(0.03),  NA(0.02)
en,   0.63(0.06),  0.44(0.04),  0.32(0.04)
eo,   0.50(0.00),  0.50(0.00),  0.50(0.00)
fr,   0.54(0.06),  0.43(0.06),  0.33(0.07)
hi,   0.19(0.02),  0.09(0.02),  0.05(0.01)
la,   NA(0.05),  NA(0.05),  NA(0.01)
pl,   0.64(0.14),  0.47(0.13),  0.37(0.13)
ru,   0.80(0.03),  0.71(0.02),  0.62(0.03)
sw,   0.78(0.05),  0.69(0.04),  0.57(0.04)
zh,   0.43(0.05),  0.23(0.03),  0.14(0.02)
